"Species","Ind","Easting","Northing","General_location","Notes"
"TODI",24,,,,
"TODI",25,,,,
"TODI",26,,,,
"TODI",27,,,,
"TODI",28,,,,
"TODI",29,,,,
"TODI",30,,,,
"TODI",31,,,,
"TODI",32,,,,
"HEAR",1,,,,
"HEAR",2,,,,
"HEAR",3,,,,
"HEAR",4,,,,
"HEAR",5,,,,
"HEAR",6,,,,
"HEAR",7,,,,
"HEAR",8,,,,
"HEAR",9,,,,
"HEAR",10,,,,
"HEAR",11,,,,
"HEAR",12,,,,
"HEAR",13,,,,
"HEAR",14,,,,
"HEAR",15,,,,
"HEAR",16,,,,
"HEAR",17,,,,
"HEAR",18,,,,
"HEAR",19,,,,
"HEAR",20,,,,
"HEAR",21,,,,
"HEAR",22,,,,
"HEAR",23,,,,
"HEAR",24,,,,
"HEAR",25,,,,
"HEAR",26,,,,
"HEAR",27,,,,
"HEAR",28,,,,
"HEAR",29,,,,
"HEAR",30,,,,
"HEAR",31,,,,
"HEAR",32,,,,
"CEOL",1,,,,
"CEOL",2,,,,
"CEOL",3,,,,
"CEOL",4,,,,
"CEOL",5,,,,
"CEOL",6,,,,
"CEOL",7,,,,
"CEOL",8,,,,
"CEOL",9,,,,
"CEOL",10,,,,
"CEOL",11,,,,
"CEOL",12,,,,
"CEOL",13,,,,
"CEOL",14,,,,
"CEOL",15,,,,
"CEOL",16,,,,
"CEOL",17,,,,
"CEOL",18,,,,
"CEOL",19,,,,
"CEOL",20,,,,
"CEOL",21,,,,
"CEOL",22,,,,
"CEOL",23,,,,
"CEOL",24,,,,
"CEOL",25,,,,
"CEOL",26,,,,
"CEOL",27,,,,
"CEOL",28,,,,
"CEOL",29,,,,
"CEOL",30,,,,
"CEOL",31,,,,
"CEOL",32,,,,
"ACMA",1,,,,
"ACMA",2,,,,
"ACMA",3,,,,
"ACMA",4,,,,
"ACMA",5,,,,
"ACMA",6,,,,
"ACMA",7,,,,
"ACMA",8,,,,
"ACMA",9,,,,
"ACMA",10,,,,
"ACMA",11,,,,
"ACMA",12,,,,
"ACMA",13,,,,
"ACMA",14,,,,
"ACMA",15,,,,
"ACMA",16,,,,
"ACMA",17,,,,
"ACMA",18,,,,
"ACMA",19,,,,
"ACMA",20,,,,
"ACMA",21,,,,
"ACMA",22,,,,
"ACMA",23,,,,
"ACMA",24,,,,
"ACMA",25,,,,
"ACMA",26,,,,
"ACMA",27,,,,
"ACMA",28,,,,
"ACMA",29,,,,
"ACMA",30,,,,
"ACMA",31,,,,
"ACMA",32,,,,
