"leafID","leafID2","species","ind","trt","spore_assay","processor","symptoms","sp_viable","inf_viable","counter","date_counted","count1","count2","count3","count4","vol1","vol2","vol3","vol4","lesion_size","notes"
80,"80C","ARME",6,"C","C",,,,,,,,,,,,,,,,
81,"81S","ARME",7,"C","S",,,,,,,,,,,,,,,,
81,"81C","ARME",7,"C","C",,,,,,,,,,,,,,,,
82,"82S","ARME",8,"C","S",,,,,,,,,,,,,,,,
82,"82C","ARME",8,"C","C",,,,,,,,,,,,,,,,
83,"83S","ARME",9,"C","S",,,,,,,,,,,,,,,,
83,"83C","ARME",9,"C","C",,,,,,,,,,,,,,,,
84,"84S","ARME",10,"C","S",,,,,,,,,,,,,,,,
84,"84C","ARME",10,"C","C",,,,,,,,,,,,,,,,
85,"85S","CEOL",1,"T","S",,,,,,,,,,,,,,,,
85,"85C","CEOL",1,"T","C",,,,,,,,,,,,,,,,
86,"86S","CEOL",2,"T","S",,,,,,,,,,,,,,,,
86,"86C","CEOL",2,"T","C",,,,,,,,,,,,,,,,
87,"87S","CEOL",3,"T","S",,,,,,,,,,,,,,,,
87,"87C","CEOL",3,"T","C",,,,,,,,,,,,,,,,
88,"88S","CEOL",4,"T","S",,,,,,,,,,,,,,,,
88,"88C","CEOL",4,"T","C",,,,,,,,,,,,,,,,
89,"89S","CEOL",5,"T","S",,,,,,,,,,,,,,,,
89,"89C","CEOL",5,"T","C",,,,,,,,,,,,,,,,
90,"90S","CEOL",6,"T","S",,,,,,,,,,,,,,,,
90,"90C","CEOL",6,"T","C",,,,,,,,,,,,,,,,
91,"91S","CEOL",7,"T","S",,,,,,,,,,,,,,,,
91,"91C","CEOL",7,"T","C",,,,,,,,,,,,,,,,
92,"92S","CEOL",8,"T","S",,,,,,,,,,,,,,,,
92,"92C","CEOL",8,"T","C",,,,,,,,,,,,,,,,
93,"93S","CEOL",9,"T","S",,,,,,,,,,,,,,,,
93,"93C","CEOL",9,"T","C",,,,,,,,,,,,,,,,
94,"94S","CEOL",10,"T","S",,,,,,,,,,,,,,,,
94,"94C","CEOL",10,"T","C",,,,,,,,,,,,,,,,
95,"95S","CEOL",11,"T","S",,,,,,,,,,,,,,,,
95,"95C","CEOL",11,"T","C",,,,,,,,,,,,,,,,
96,"96S","CEOL",12,"T","S",,,,,,,,,,,,,,,,
96,"96C","CEOL",12,"T","C",,,,,,,,,,,,,,,,
