"leafID","leafID2","species","ind","leaf","trt","spore_assay","processor","spore_counter","date_counted","count1","count2","count3","prop","perc_lesion","leaf_area_cm2","lesion_area_cm2","asymp","notes","omit","easting","northing","date_proc"
45,"45C","ARME",3,1,"T","C","LMR","EL",2019-06-25,"44","NA","NA","0.1",99.89,1.23,1.23,NA,NA,NA,605927,4023742,2019-05-17
46,"46S","ARME",4,1,"T","S","SF","LMR",2019-05-21,"0","0","0","NA",75.01,1.23,0.92,NA,NA,NA,605931,4023750,2019-05-17
46,"46C","ARME",4,1,"T","C","LMR","EL",2019-06-21,"0","NA","NA","1",59.28,1.23,0.73,NA,NA,NA,605931,4023750,2019-05-17
47,"47S","ARME",5,1,"T","S","SF","LMR",2019-08-07,"0","1","0","NA",99.63,1.23,1.22,NA,NA,NA,605911,4023760,2019-05-17
47,"47C","ARME",5,1,"T","C","LMR","EL",2019-06-21,"10","NA","NA","1",99.84,1.23,1.23,NA,NA,NA,605911,4023760,2019-05-17
48,"48S","ARME",6,1,"T","S","SF","LMR",2019-08-07,"0","0","2","NA",58.9,1.23,0.72,NA,NA,NA,605911,4023760,2019-05-17
48,"48C","ARME",6,1,"T","C","LMR","EL",2019-06-25,"40","NA","NA","1",59.66,1.23,0.73,NA,NA,NA,605911,4023760,2019-05-17
49,"49S","ARME",7,1,"T","S","SF","LMR",2019-08-07,"0","1","0","NA",94.87,1.23,1.16,NA,NA,NA,605917,4023775,2019-05-17
49,"49C","ARME",7,1,"T","C","LMR","EL",2019-06-25,"68","NA","NA","0.1",100,1.23,1.23,NA,NA,NA,605917,4023775,2019-05-17
50,"50S","ARME",8,1,"T","S","SF","LMR",2019-08-07,"0","1","0","NA",99.45,1.23,1.22,NA,NA,NA,605904,4023794,2019-05-17
50,"50C","ARME",8,1,"T","C","LMR","EL",2019-06-21,"31","NA","NA","1",92.54,1.23,1.14,NA,NA,NA,605904,4023794,2019-05-17
51,"51S","ARME",9,1,"T","S","SF","LMR",2019-08-07,"0","0","1","NA",98.5,1.23,1.21,NA,NA,NA,605910,4023803,2019-05-17
51,"51C","ARME",9,1,"T","C","LMR","EL",2019-06-21,"0","NA","NA","1",55.98,1.23,0.69,NA,NA,NA,605910,4023803,2019-05-17
52,"52S","ARME",10,1,"T","S","SF","LMR",2019-08-07,"0","2","1","NA",100,1.23,1.23,NA,NA,NA,605900,4023805,2019-05-17
52,"52C","ARME",10,1,"T","C","LMR","EL",2019-06-21,"5","NA","NA","1",100,1.23,1.23,NA,NA,NA,605900,4023805,2019-05-17
53,"53S","ARME",11,1,"T","S","SF","LMR",2019-08-07,"2","0","0","NA",100,1.23,1.23,NA,NA,NA,605908,4023807,2019-05-17
53,"53C","ARME",11,1,"T","C","LMR","EL",2019-06-21,"4","NA","NA","1",100,1.23,1.23,NA,NA,NA,605908,4023807,2019-05-17
54,"54S","ARME",12,1,"T","S","SF","LMR",2019-08-07,"2","1","1","NA",100,1.23,1.23,NA,NA,NA,605913,4023804,2019-05-17
54,"54C","ARME",12,1,"T","C","LMR","EL",2019-06-21,"29","NA","NA","1",100,1.23,1.23,NA,NA,NA,605913,4023804,2019-05-17
55,"55S","ARME",13,1,"T","S","SF","LMR",2019-08-07,"1","3","1","NA",100,1.23,1.23,NA,NA,NA,605915,4023805,2019-05-17
55,"55C","ARME",13,1,"T","C","LMR","EL",2019-06-21,"69","NA","NA","1",100,1.23,1.23,NA,NA,NA,605915,4023805,2019-05-17
56,"56S","ARME",14,1,"T","S","SF","LMR",2019-08-07,"1","1","0","NA",98.5,1.23,1.21,NA,NA,NA,605900,4023813,2019-05-17
56,"56C","ARME",14,1,"T","C","LMR","EL",2019-06-21,"24","NA","NA","1",97.67,1.23,1.2,NA,NA,NA,605900,4023813,2019-05-17
57,"57S","ARME",15,1,"T","S","SF","LMR",2019-08-07,"0","0","0","NA",100,1.23,1.23,NA,NA,NA,605895,4023811,2019-05-17
57,"57C","ARME",15,1,"T","C","LMR","EL",2019-06-21,"34","NA","NA","1",100,1.23,1.23,NA,NA,NA,605895,4023811,2019-05-17
58,"58S","ARME",16,1,"T","S","SF","LMR",2019-08-07,"0","0","0","NA",100,1.23,1.23,NA,NA,NA,605892,4023806,2019-05-17
58,"58C","ARME",16,1,"T","C","LMR","EL",2019-06-21,"49","NA","NA","1",100,1.23,1.23,NA,NA,NA,605892,4023806,2019-05-17
59,"59S","ARME",17,1,"T","S","SF","LMR",2019-08-07,"0","0","1","NA",100,1.23,1.23,NA,NA,NA,605886,4023806,2019-05-17
59,"59C","ARME",17,1,"T","C","LMR","SF",2019-06-22,"31","NA","NA","1",100,1.23,1.23,NA,NA,NA,605886,4023806,2019-05-17
60,"60S","ARME",18,1,"T","S","SF","LMR",2019-08-07,"0","0","0","NA",100,1.23,1.23,NA,NA,NA,605848,4023819,2019-05-17
60,"60C","ARME",18,1,"T","C","LMR","SF",2019-06-22,"55","NA","NA","1",100,1.23,1.23,NA,NA,NA,605848,4023819,2019-05-17
61,"61S","ARME",19,1,"T","S","SF","LMR",2019-08-07,"0","1","0","NA",100,1.23,1.23,NA,NA,NA,605835,4023821,2019-05-17
61,"61C","ARME",19,1,"T","C","LMR","SF",2019-06-22,"66","NA","NA","1",100,1.23,1.23,NA,NA,NA,605835,4023821,2019-05-17
62,"62S","ARME",20,1,"T","S","SF","LMR",2019-08-07,"1","0","0","NA",100,1.23,1.23,NA,NA,NA,605830,4023823,2019-05-17
62,"62C","ARME",20,1,"T","C","LMR","SF",2019-06-19,"23","NA","NA","1",100,1.23,1.23,NA,NA,NA,605830,4023823,2019-05-17
63,"63S","ARME",21,1,"T","S","SF","LMR",2019-08-07,"0","1","0","NA",100,1.23,1.23,NA,NA,NA,605835,4023841,2019-05-17
63,"63C","ARME",21,1,"T","C","LMR","SF",2019-06-22,"104","NA","NA","1",100,1.23,1.23,NA,NA,NA,605835,4023841,2019-05-17
64,"64S","ARME",22,1,"T","S","SF","LMR",2019-08-07,"0","0","0","NA",84.11,1.23,1.03,NA,NA,NA,605837,4023841,2019-05-17
64,"64C","ARME",22,1,"T","C","LMR","SF",2019-06-22,"2","NA","NA","1",92.19,1.23,1.13,NA,NA,NA,605837,4023841,2019-05-17
65,"65S","ARME",23,1,"T","S","SF","LMR",2019-08-07,"0","2","0","NA",87.58,1.23,1.07,NA,NA,NA,605798,4023854,2019-05-17
65,"65C","ARME",23,1,"T","C","LMR","SF",2019-06-22,"15","NA","NA","1",100,1.23,1.23,NA,NA,NA,605798,4023854,2019-05-17
66,"66S","ARME",24,1,"T","S","SF","LMR",2019-08-07,"0","1","1","NA",100,1.23,1.23,NA,NA,NA,605790,4023855,2019-05-17
66,"66C","ARME",24,1,"T","C","LMR","SF",2019-06-22,"39","NA","NA","1",100,1.23,1.23,NA,NA,NA,605790,4023855,2019-05-17
67,"67S","ARME",25,1,"T","S","SF","LMR",2019-08-07,"0","0","1","NA",100,1.23,1.23,NA,NA,NA,605797,4023862,2019-05-17
