leafID,leafID2,species,ind,leaf,trt,spore_assay,total area,perc_lesion
130,130C,HEAR,4,1,T,C,8029,52.92
131,131S,HEAR,5,1,T,S,3257,21.01
131,131C,HEAR,5,1,T,C,0,0
132,132S,HEAR,6,1,T,S,1627,12.106
132,132C,HEAR,6,1,T,C,7457,52.492
133,133S,HEAR,7,1,T,S,9616,68.262
133,133C,HEAR,7,1,T,C,5315,38.526
134,134S,HEAR,8,1,T,S,6534,45.995
134,134C,HEAR,8,1,T,C,8824,62.115
135,135S,HEAR,9,1,T,S,2863,19.575
135,135C,HEAR,9,2,T,C,5707,39.02
136,136S,HEAR,10,1,T,S,13283,83.289
136,136C,HEAR,10,1,T,C,8477,53.154
137,137S,HEAR,11,1,T,S,8047,49.814
137,137C,HEAR,11,1,T,C,5956,39.802
138,138S,HEAR,12,1,T,S,,0
138,138C,HEAR,12,1,T,C,3634,26.172
139,139S,HEAR,13,1,T,S,5566,36.379
139,139C,HEAR,13,1,T,C,0,0
140,140S,HEAR,14,1,T,S,4586,29.974
140,140C,HEAR,14,1,T,C,4230,27.647
141,141S,HEAR,15,1,T,S,1741,11.379
141,141C,HEAR,15,1,T,C,0,0
142,142S,HEAR,16,1,T,S,2581,16.869
142,142C,HEAR,16,1,T,C,4235,27.68
143,143S,HEAR,17,1,T,S,6491,44.976
143,143C,HEAR,17,1,T,C,2237,15.5
144,144S,HEAR,18,1,T,S,2908,23.145
144,144C,HEAR,18,1,T,C,5089,37.485
145,145S,HEAR,19,1,T,S,1,5
145,145C,HEAR,19,1,T,C,1,0
146,146S,HEAR,20,1,T,S,5368,35.63
146,146C,HEAR,20,1,T,C,3879,25.747
147,147S,HEAR,21,1,T,S,6616,44.546
147,147C,HEAR,21,1,T,C,5756,38.756
148,148S,HEAR,22,1,T,S,4383,29.511
148,148C,HEAR,22,1,T,C,3475,23.398
149,149S,HEAR,23,1,T,S,5510,37.099
149,149C,HEAR,23,1,T,C,4106,27.646
150,150S,HEAR,24,1,T,S,1,0
150,150C,HEAR,24,1,T,C,3409,23.987
151,151S,HEAR,25,1,T,S,3030,20.618
151,151C,HEAR,25,1,T,C,456,2.963
152,152S,HEAR,26,1,T,S,4651,30.225
152,152C,HEAR,26,1,T,C,2974,19.327
153,153S,HEAR,27,1,T,S,3525,20.523
153,153C,HEAR,27,1,T,C,3631,22.298
154,154S,HEAR,28,1,T,S,5363,31.636
154,154C,HEAR,28,1,T,C,4934,29.106
155,155S,HEAR,29,1,T,S,5750,41.367
155,155C,HEAR,29,1,T,C,4636,33.353
156,156S,HEAR,30,1,T,S,4259,30.64
156,156C,HEAR,30,1,T,C,3193,22.971
157,157S,HEAR,31,1,T,S,5930,42.662
157,157C,HEAR,31,1,T,C,6022,43.324
158,158S,HEAR,32,1,T,S,11749,84.525
158,158C,HEAR,32,1,T,C,8589,61.791
159,159S,HEAR,1,1,C,S,0,
159,159C,HEAR,1,1,C,C,0,
160,160S,HEAR,2,1,C,S,0,
160,160C,HEAR,2,1,C,C,0,
161,161S,HEAR,9,1,C,S,17,0.096
161,161C,HEAR,9,2,C,C,0,
162,162S,HEAR,10,1,C,S,0,
162,162C,HEAR,10,1,C,C,0,
163,163S,HEAR,17,1,C,S,0,
163,163C,HEAR,17,1,C,C,0,
164,164S,HEAR,18,1,C,S,0,
164,164C,HEAR,18,1,C,C,0,
165,165S,HEAR,25,1,C,S,0,
165,165C,HEAR,25,1,C,C,0,
166,166S,HEAR,26,1,C,S,70,0.441
166,166C,HEAR,26,1,C,C,0,
167,167S,HEAR,29,1,C,S,0,
167,167C,HEAR,29,1,C,C,0,
168,168S,HEAR,30,1,C,S,0,
168,168C,HEAR,30,1,C,C,0,
169,169S,LIDE,1,1,T,S,2271,13.551
169,169C,LIDE,1,1,T,C,2141,12.371
170,170S,LIDE,2,1,T,S,833,4.813
170,170C,LIDE,2,1,T,C,1065,6.154
171,171S,LIDE,3,1,T,S,1738,10.043
171,171C,LIDE,3,1,T,C,475,2.745
172,172S,LIDE,4,1,T,S,140,0.809
172,172C,LIDE,4,1,T,C,50,0.289
173,173S,LIDE,5,1,T,S,402,2.452
173,173C,LIDE,5,1,T,C,1446,8.82
174,174S,LIDE,6,1,T,S,119,0.726
174,174C,LIDE,6,1,T,C,547,3.337
175,175S,LIDE,7,1,T,S,2327,14.194
175,175C,LIDE,7,1,T,C,1826,11.138
176,176S,LIDE,8,1,T,S,1435,8.753
176,176C,LIDE,8,1,T,C,349,2.129
177,177S,LIDE,9,1,T,S,263,1.594
177,177C,LIDE,9,1,T,C,656,3.975
178,178S,LIDE,10,1,T,S,2130,12.906
178,178C,LIDE,10,1,T,C,2044,12.385
179,179S,LIDE,11,1,T,S,668,4.048
179,179C,LIDE,11,1,T,C,64,0.388
180,180S,LIDE,12,1,T,S,1863,11.288
180,180C,LIDE,12,1,T,C,656,3.975
181,181S,LIDE,13,1,T,S,1595,10.214
181,181C,LIDE,13,1,T,C,1344,8.607
182,182S,LIDE,14,1,T,S,1592,10.195
182,182C,LIDE,14,1,T,C,1515,9.702
183,183S,LIDE,15,1,T,S,392,0
183,183C,LIDE,15,1,T,C,1531,9.804
184,184S,LIDE,16,1,T,S,2430,15.561
184,184C,LIDE,16,1,T,C,2230,14.28
185,185S,LIDE,17,1,T,S,1651,9.157
185,185C,LIDE,17,1,T,C,2595,13.759
186,186S,LIDE,18,1,T,S,1607,8.913
186,186C,LIDE,18,1,T,C,1668,9.251
187,187S,LIDE,19,1,T,S,1350,7.488
187,187C,LIDE,19,1,T,C,666,3.694
188,188S,LIDE,20,1,T,S,1462,9.22
188,188C,LIDE,20,1,T,C,1494,8.856
189,189S,LIDE,21,1,T,S,1616,9.792
189,189C,LIDE,21,1,T,C,266,1.612
190,190S,LIDE,22,1,T,S,1762,10.676
190,190C,LIDE,22,1,T,C,1361,8.246
191,191S,LIDE,23,1,T,S,1249,7.568
191,191C,LIDE,23,1,T,C,458,2.775
192,192S,LIDE,24,1,T,S,978,5.926
192,192C,LIDE,24,1,T,C,1375,8.331
193,193S,LIDE,25,1,T,S,1860,11.181
193,193C,LIDE,25,1,T,C,1735,10.429
194,194S,LIDE,26,1,T,S,1596,9.594
194,194C,LIDE,26,1,T,C,1822,10.952
195,195S,LIDE,27,1,T,S,0,0
195,195C,LIDE,27,1,T,C,1613,9.696
196,196S,LIDE,28,1,T,S,1707,10.261
196,196C,LIDE,28,1,T,C,0,0
197,197S,LIDE,29,1,T,S,418,2.548
197,197C,LIDE,29,1,T,C,404,2.463
198,198S,LIDE,30,1,T,S,1995,12.162
198,198C,LIDE,30,1,T,C,2181,13.296
199,199S,LIDE,31,1,T,S,315,1.92
199,199C,LIDE,31,1,T,C,253,1.542
200,200S,LIDE,32,1,T,S,1993,12.149
200,200C,LIDE,32,1,T,C,1705,10.394
201,201S,LIDE,1,1,C,S,19,0.115
201,201C,LIDE,1,1,C,C,23,0.139
202,202S,LIDE,2,1,C,S,284,1.721
202,202C,LIDE,2,1,C,C,22,0.124
203,203S,LIDE,3,1,C,S,259,1.464
203,203C,LIDE,3,1,C,C,39,0.22
204,204S,LIDE,4,1,C,S,393,2.221
204,204C,LIDE,4,1,C,C,7,0.04
205,205S,LIDE,5,1,C,S,231,1.448
205,205C,LIDE,5,1,C,C,63,0.395
206,206S,LIDE,6,1,C,S,20,0.125
206,206C,LIDE,6,1,C,C,79,0.495
207,207S,LIDE,7,1,C,S,78,0.489
207,207C,LIDE,7,1,C,C,18,0.113
